zone_id,row,column,x_m,y_m,width_m,height_m,soil_profile,planting_offset_days,initial_available_n_kg_ha,stand_density_plants_m2,slow_drainage
Z_R1_C1,1,1,0,0,160,160,low,-2,40,6,false
Z_R1_C2,1,2,160,0,160,160,low,-2,70,7,false
Z_R1_C3,1,3,320,0,160,160,low,-2,100,7,false
Z_R1_C4,1,4,480,0,160,160,low,-2,130,7,false
Z_R1_C5,1,5,640,0,160,160,low,-2,160,6,false
Z_R2_C1,2,1,0,160,160,160,low,-1,40,7,false
Z_R2_C2,2,2,160,160,160,160,low,-1,70,8,false
Z_R2_C3,2,3,320,160,160,160,low,-1,100,8,false
Z_R2_C4,2,4,480,160,160,160,low,-1,130,8,false
Z_R2_C5,2,5,640,160,160,160,low,-1,160,7,false
Z_R3_C1,3,1,0,320,160,160,reference,0,40,7,false
Z_R3_C2,3,2,160,320,160,160,reference,0,70,8,false
Z_R3_C3,3,3,320,320,160,160,reference,0,100,8,true
Z_R3_C4,3,4,480,320,160,160,reference,0,130,8,true
Z_R3_C5,3,5,640,320,160,160,reference,0,160,7,false
Z_R4_C1,4,1,0,480,160,160,high,1,40,7,false
Z_R4_C2,4,2,160,480,160,160,high,1,70,8,false
Z_R4_C3,4,3,320,480,160,160,high,1,100,8,true
Z_R4_C4,4,4,480,480,160,160,high,1,130,8,true
Z_R4_C5,4,5,640,480,160,160,high,1,160,7,false
Z_R5_C1,5,1,0,640,160,160,high,2,40,6,false
Z_R5_C2,5,2,160,640,160,160,high,2,70,7,false
Z_R5_C3,5,3,320,640,160,160,high,2,100,7,false
Z_R5_C4,5,4,480,640,160,160,high,2,130,7,false
Z_R5_C5,5,5,640,640,160,160,high,2,160,6,false
