## Site Characteristics
Country = 'United States'
Station = 'Ames, Iowa NASA POWER grid point'
Description = 'Fixed calendar-year 2022 weather for Phase 1, time standard LST'
Source = 'NASA POWER Daily API v2.9.7, retrieved 2026-09-02, radiation MJ/m2/day converted to kJ/m2/day, dewpoint converted to vapour pressure with FAO-56 equation 14'
Contact = 'https://power.larc.nasa.gov/'
Longitude = -93.63; Latitude = 42.03; Elevation = 310.22; AngstromA = 0.193615; AngstromB = 0.563690; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20220101,4530.0,-17.77,-11.53,0.1233,7.02,1.50,17.33
20220102,8550.0,-21.36,-11.02,0.1243,2.87,0.00,17.33
20220103,8580.0,-14.57,1.91,0.2968,3.70,0.05,17.33
20220104,5300.0,-8.21,1.02,0.4064,5.54,0.07,17.33
20220105,8210.0,-15.42,-9.64,0.1600,8.85,0.14,17.33
20220106,8400.0,-20.74,-15.75,0.1064,5.30,0.01,17.33
20220107,5760.0,-20.77,-9.99,0.1352,3.63,0.00,17.33
20220108,2680.0,-13.40,-3.14,0.3181,4.56,0.00,17.33
20220109,8300.0,-15.52,-5.99,0.1842,4.56,0.01,17.33
20220110,8350.0,-12.14,-6.73,0.2018,2.53,0.01,17.33
20220111,8320.0,-13.31,6.00,0.3653,4.63,0.01,17.33
20220112,8450.0,-0.72,8.13,0.6020,2.39,0.00,17.33
20220113,9000.0,-2.52,5.81,0.6325,2.92,0.02,17.33
20220114,1470.0,-6.88,1.03,0.4907,4.84,15.33,17.33
20220115,8470.0,-16.00,-7.55,0.2258,4.36,1.46,17.33
20220116,3300.0,-17.14,-2.67,0.3034,3.85,0.11,17.33
20220117,5140.0,-9.94,-0.07,0.3960,2.79,0.00,17.33
20220118,5210.0,-6.12,3.53,0.4940,4.19,0.07,17.33
20220119,6460.0,-20.08,-6.98,0.1637,6.83,0.00,17.33
20220120,7240.0,-23.37,-13.57,0.1173,2.46,0.00,17.33
20220121,10390.0,-21.97,-8.53,0.1652,4.34,0.25,17.33
20220122,8540.0,-9.28,0.79,0.3420,4.65,0.19,17.33
20220123,9910.0,-15.74,0.45,0.2263,4.07,0.04,17.33
20220124,9470.0,-18.26,-1.69,0.2817,5.17,0.02,17.33
20220125,11310.0,-21.93,-10.59,0.1256,3.10,0.00,17.33
20220126,10880.0,-21.69,-3.63,0.1979,4.85,0.00,17.33
20220127,8440.0,-13.98,1.81,0.3428,4.88,0.02,17.33
20220128,11640.0,-18.87,-5.93,0.1720,2.74,0.00,17.33
20220129,11010.0,-11.87,2.94,0.3305,3.52,0.00,17.33
20220130,8310.0,-10.18,-3.90,0.2935,3.43,0.00,17.33
20220131,9060.0,-8.73,3.49,0.4424,4.44,0.00,17.33
20220201,11320.0,-9.69,0.77,0.3639,5.19,0.00,17.33
20220202,11150.0,-15.08,-9.71,0.1503,6.56,0.00,17.33
20220203,12330.0,-19.24,-10.37,0.1293,3.84,0.00,17.33
20220204,11820.0,-18.35,-6.83,0.1554,4.15,0.01,17.33
20220205,10100.0,-18.22,4.63,0.2584,4.75,0.00,17.33
20220206,9980.0,-11.78,2.54,0.3670,4.16,0.05,17.33
20220207,10800.0,-13.61,2.10,0.2982,1.89,0.00,17.33
20220208,10140.0,-5.20,4.50,0.5305,3.10,0.00,17.33
20220209,9760.0,-3.65,6.38,0.4629,5.12,0.16,17.33
20220210,11320.0,-7.87,3.82,0.4189,5.00,1.44,17.33
20220211,11070.0,-11.99,4.36,0.3580,8.03,1.08,17.33
20220212,12320.0,-17.00,-8.25,0.1459,3.74,0.22,17.33
20220213,11480.0,-14.03,-9.01,0.1741,3.31,0.13,17.33
20220214,12040.0,-12.15,-0.44,0.2896,2.83,0.01,17.33
20220215,11900.0,-9.05,9.08,0.4816,5.47,0.06,17.33
20220216,10700.0,-4.69,4.31,0.5282,4.82,0.06,17.33
20220217,8310.0,-11.85,-5.32,0.1658,5.83,0.00,17.33
20220218,12970.0,-13.31,9.32,0.2979,6.60,0.03,17.33
20220219,14820.0,-14.21,-1.58,0.1951,4.55,0.00,17.33
20220220,14860.0,-5.91,13.62,0.5595,4.39,0.00,16.97
20220221,8850.0,-1.45,11.17,0.6764,4.52,0.02,15.29
20220222,8050.0,-13.97,-2.30,0.2232,7.89,0.23,17.33
20220223,12890.0,-16.31,-10.50,0.1471,4.36,0.01,12.68
20220224,6370.0,-14.74,-6.10,0.2252,3.11,1.96,15.75
20220225,12800.0,-13.96,-3.87,0.2138,3.11,0.22,17.33
20220226,15390.0,-13.47,5.53,0.2730,4.23,0.00,17.33
20220227,16630.0,-8.85,7.69,0.3684,2.70,0.01,17.33
20220228,16310.0,-3.26,14.20,0.5158,2.86,0.00,17.33
20220301,15890.0,0.60,15.17,0.6788,1.91,0.00,17.33
20220302,15770.0,-1.73,18.55,0.7001,2.93,0.00,15.37
20220303,9930.0,-3.03,4.64,0.3914,4.04,0.01,12.83
20220304,11620.0,-3.89,10.14,0.5147,5.75,2.99,7.64
20220305,3740.0,0.29,18.48,1.1434,4.98,13.98,3.24
20220306,13170.0,-4.20,4.95,0.4036,5.15,3.43,7.70
20220307,15690.0,-6.30,2.51,0.3336,4.25,3.02,17.33
20220308,17090.0,-7.65,6.87,0.3520,3.28,0.00,17.33
20220309,11290.0,-6.08,-1.94,0.2801,4.15,0.01,17.33
20220310,11990.0,-8.36,-4.04,0.2306,2.50,0.09,17.33
20220311,18700.0,-12.99,-4.66,0.1879,5.98,0.00,17.33
20220312,19660.0,-14.71,-0.72,0.2016,4.03,0.00,17.33
20220313,19310.0,-3.04,12.95,0.5400,2.80,0.00,17.33
20220314,14830.0,-0.21,13.56,0.6581,3.02,0.00,17.33
20220315,16940.0,-1.78,15.15,0.6293,1.99,0.05,17.33
20220316,19220.0,0.18,20.71,0.7934,3.80,0.00,11.02
20220317,4400.0,3.83,7.89,0.7929,4.10,5.54,0.00
20220318,7100.0,-0.06,4.69,0.6520,5.71,13.81,4.35
20220319,19730.0,-2.47,14.62,0.5757,3.26,0.01,6.29
20220320,17170.0,2.92,18.99,0.7735,2.90,0.00,2.58
20220321,13180.0,6.73,21.65,0.9821,4.24,0.95,0.00
20220322,3670.0,2.40,10.93,0.9384,4.18,15.24,0.30
20220323,6000.0,0.85,5.35,0.6108,6.79,0.97,5.95
